Time_ns,RMSD_Framework_A,RMSD_CDRs_A
0.9200,1.4556,1.8572
0.9220,1.4940,2.0062
0.9240,1.4483,2.0589
0.9260,1.4552,2.1774
0.9280,1.4716,2.0105
0.9300,1.4236,1.9909
0.9320,1.4572,2.0834
0.9340,1.4555,1.9953
0.9360,1.4466,1.9449
0.9380,1.4529,1.9599
0.9400,1.4430,1.9910
0.9420,1.3771,1.8623
0.9440,1.3765,1.8165
0.9460,1.3455,1.7251
0.9480,1.3910,1.9132
0.9500,1.4219,1.9426
0.9520,1.4299,1.8689
0.9540,1.4155,1.7458
0.9560,1.4323,1.7225
0.9580,1.4919,1.7149
0.9600,1.4678,1.6831
0.9620,1.4323,1.6389
0.9640,1.4070,1.6066
0.9660,1.4570,1.8014
0.9680,1.4748,1.7259
0.9700,1.4074,1.7010
0.9720,1.3689,1.8036
0.9740,1.3692,1.5610
0.9760,1.3106,1.7238
0.9780,1.3421,1.7159
0.9800,1.3802,1.7874
0.9820,1.4791,1.6839
0.9840,1.4375,1.8519
0.9860,1.4171,1.7990
0.9880,1.3989,1.6198
0.9900,1.4169,1.8318
0.9920,1.4410,1.9136
0.9940,1.3881,1.8926
0.9960,1.3834,1.8648
0.9980,1.3826,1.9115
1.0000,1.4181,1.8771
1.0020,1.3551,1.9604
1.0040,1.3380,1.9942
1.0060,1.3428,1.7963
1.0080,1.2999,1.7390
1.0100,1.3479,1.6537
1.0120,1.2933,1.6209
1.0140,1.3600,1.7762
1.0160,1.3048,1.8245
1.0180,1.2987,1.7865
1.0200,1.3568,1.8520
1.0220,1.3395,1.8043
1.0240,1.3452,1.9495
1.0260,1.3902,1.9643
1.0280,1.3440,1.9360
1.0300,1.4046,1.8063
1.0320,1.3922,1.6520
1.0340,1.3268,1.7406
1.0360,1.2917,1.7079
1.0380,1.3225,1.8557
1.0400,1.3744,1.5794
1.0420,1.4262,1.6188
1.0440,1.4151,1.6607
1.0460,1.3708,1.6344
1.0480,1.3688,1.5551
1.0500,1.3717,1.6083
1.0520,1.3602,1.8352
1.0540,1.3892,1.8622
1.0560,1.3840,1.7869
1.0580,1.4166,1.7242
1.0600,1.3708,1.8398
1.0620,1.4287,1.7286
1.0640,1.3449,1.8195
1.0660,1.3555,1.7211
1.0680,1.3285,1.8374
1.0700,1.3747,1.8626
1.0720,1.4085,1.8103
1.0740,1.4023,1.8694
1.0760,1.4146,1.7944
1.0780,1.4001,1.9660
1.0800,1.4021,2.0154
1.0820,1.3547,1.9043
1.0840,1.3768,1.9736
1.0860,1.3128,2.0108
1.0880,1.3381,1.9906
1.0900,1.3110,1.8100
1.0920,1.3271,1.8007
1.0940,1.3446,1.7957
1.0960,1.3868,1.9086
1.0980,1.3580,2.0616
1.1000,1.3977,1.9241
1.1020,1.4434,1.8825
1.1040,1.4119,1.9579
1.1060,1.3840,1.9807
1.1080,1.3911,2.0382
1.1100,1.4389,2.0254
1.1120,1.3987,1.9819
1.1140,1.3956,2.0397
1.1160,1.3956,2.0768
1.1180,1.4066,2.0687
1.1200,1.4506,2.0834
1.1220,1.4279,2.1242
1.1240,1.3944,2.1920
1.1260,1.4244,2.1325
1.1280,1.4776,2.0867
1.1300,1.4463,2.1459
1.1320,1.4666,2.1306
1.1340,1.4188,2.1294
1.1360,1.3824,2.1694
1.1380,1.3752,2.0850
1.1400,1.3636,2.1184
1.1420,1.4171,2.0283
1.1440,1.4056,2.0723
1.1460,1.3980,1.9844
1.1480,1.4415,1.9995
1.1500,1.3058,2.0104
1.1520,1.3653,2.0532
1.1540,1.3096,2.0246
1.1560,1.2587,1.8245
1.1580,1.3031,1.9378
1.1600,1.3068,1.9524
1.1620,1.3496,1.9098
1.1640,1.2782,1.9856
1.1660,1.3535,1.9264
1.1680,1.3040,1.9398
1.1700,1.3317,1.9389
1.1720,1.3360,1.9336
1.1740,1.2900,1.9470
1.1760,1.3094,2.0074
1.1780,1.2905,1.8955
1.1800,1.3099,1.9295
1.1820,1.2918,2.0903
1.1840,1.2996,1.9774
1.1860,1.3281,2.0656
1.1880,1.3594,2.0467
1.1900,1.3665,1.9719
1.1920,1.3701,2.0433
1.1940,1.2804,1.9396
1.1960,1.3032,2.0452
1.1980,1.3113,2.1215
1.2000,1.2733,2.2901
1.2020,1.2674,2.0777
1.2040,1.2999,1.9781
1.2060,1.3124,1.9208
1.2080,1.2858,2.0080
1.2100,1.3944,2.0831
1.2120,1.3322,1.9925
1.2140,1.3129,2.1241
1.2160,1.3331,2.2237
1.2180,1.2912,2.0362
1.2200,1.3422,2.1989
1.2220,1.2827,2.0368
1.2240,1.3098,1.9653
1.2260,1.3250,1.9220
1.2280,1.3448,1.9538
1.2300,1.3274,2.0534
1.2320,1.3632,2.0681
1.2340,1.2629,1.8759
1.2360,1.3140,2.0555
1.2380,1.3336,1.9755
1.2400,1.3742,1.9574
1.2420,1.3001,1.9527
1.2440,1.3570,1.9899
1.2460,1.3403,1.8980
1.2480,1.3190,1.9630
1.2500,1.3282,1.9374
1.2520,1.2959,1.9875
1.2540,1.3814,2.0305
1.2560,1.3562,2.2007
1.2580,1.3802,1.9577
1.2600,1.3745,1.8468
1.2620,1.4031,2.0054
1.2640,1.3386,1.9552
1.2660,1.3994,1.9118
1.2680,1.3953,1.9421
1.2700,1.4452,1.9501
1.2720,1.4123,1.9508
1.2740,1.4430,2.0044
1.2760,1.4117,2.0118
1.2780,1.4222,1.9338
1.2800,1.3687,1.9493
1.2820,1.3629,1.9747
1.2840,1.4053,1.9124
1.2860,1.3316,1.9725
1.2880,1.3354,1.9890
1.2900,1.3244,2.0210
1.2920,1.3189,2.1467
1.2940,1.3097,2.0584
1.2960,1.3509,1.9328
1.2980,1.4017,2.0116
1.3000,1.4257,1.8331
1.3020,1.3741,1.9649
1.3040,1.3907,1.9481
1.3060,1.3538,1.9135
1.3080,1.3697,1.8833
1.3100,1.3683,1.7376
1.3120,1.4061,1.9007
1.3140,1.3949,1.8336
1.3160,1.3728,1.8226
1.3180,1.4085,1.9174
1.3200,1.4341,1.9172
1.3220,1.4072,2.0312
1.3240,1.4032,1.9790
1.3260,1.3496,2.0143
1.3280,1.3866,1.9923
1.3300,1.3408,1.9344
1.3320,1.4162,2.1533
1.3340,1.3835,2.1568
1.3360,1.4099,2.0566
1.3380,1.3696,1.9825
1.3400,1.3189,2.0264
1.3420,1.3428,2.0024
1.3440,1.3563,2.1534
1.3460,1.5133,2.1007
1.3480,1.4224,2.0063
1.3500,1.3933,1.9872
1.3520,1.3457,1.9575
1.3540,1.3768,2.0699
1.3560,1.3458,1.9656
1.3580,1.4126,1.9602
1.3600,1.3913,1.9577
1.3620,1.3677,1.7784
1.3640,1.3544,1.8247
1.3660,1.3178,1.9713
1.3680,1.3430,1.9853
1.3700,1.3242,1.8879
1.3720,1.3077,1.8150
1.3740,1.2962,1.9058
1.3760,1.2925,1.9921
1.3780,1.3825,1.8652
1.3800,1.3750,1.9789
1.3820,1.3475,1.9838
1.3840,1.4117,2.0483
1.3860,1.4473,1.9423
1.3880,1.4676,2.0096
1.3900,1.4168,1.8393
1.3920,1.4284,1.7425
1.3940,1.4540,1.9207
1.3960,1.5089,2.0570
1.3980,1.5072,1.9083
1.4000,1.4311,1.9557
1.4020,1.3548,1.9555
1.4040,1.3978,1.9818
1.4060,1.3674,1.9268
1.4080,1.4399,1.9577
1.4100,1.3887,1.8948
1.4120,1.4265,1.8760
1.4140,1.4219,1.9127
1.4160,1.3945,1.9743
1.4180,1.3881,1.9202
1.4200,1.3837,2.0168
1.4220,1.4463,2.0074
1.4240,1.4638,2.0550
1.4260,1.4262,1.9588
1.4280,1.4647,1.9343
1.4300,1.4993,2.1376
1.4320,1.4934,2.0435
1.4340,1.4659,2.1201
1.4360,1.4897,2.2071
1.4380,1.4407,2.1822
1.4400,1.3871,2.2162
1.4420,1.4227,2.1301
1.4440,1.3687,2.1458
1.4460,1.3723,2.1143
1.4480,1.4061,2.0956
1.4500,1.4005,2.1799
1.4520,1.4087,2.1646
1.4540,1.4129,1.9550
1.4560,1.4327,1.9315
1.4580,1.4486,1.9160
1.4600,1.4627,1.9173
1.4620,1.4449,1.9046
1.4640,1.4188,2.0278
1.4660,1.3907,2.2121
1.4680,1.3537,1.9117
1.4700,1.3344,2.0759
1.4720,1.3765,1.9151
1.4740,1.3503,2.0165
1.4760,1.3564,1.9916
1.4780,1.3936,1.9922
1.4800,1.3630,2.0528
1.4820,1.3474,1.9475
1.4840,1.3033,1.9112
1.4860,1.3189,2.0084
1.4880,1.3507,1.9410
1.4900,1.3508,1.9311
1.4920,1.3409,1.8556
1.4940,1.3621,1.9022
1.4960,1.3646,1.8821
1.4980,1.3765,1.9084
1.5000,1.3576,1.9424
1.5020,1.3149,1.9229
1.5040,1.3622,1.8787
1.5060,1.3782,2.1083
1.5080,1.4375,2.1231
1.5100,1.4372,1.9617
1.5120,1.4554,2.0659
1.5140,1.4259,2.1278
1.5160,1.4274,1.9277
1.5180,1.3814,1.7943
1.5200,1.3642,1.9153
1.5220,1.3718,1.9581
1.5240,1.3951,1.7642
1.5260,1.3370,1.8446
1.5280,1.4430,1.8057
1.5300,1.3604,1.8273
1.5320,1.3635,1.7936
1.5340,1.3407,1.6211
1.5360,1.3686,1.7323
1.5380,1.3634,1.6605
1.5400,1.3570,1.7245
1.5420,1.3445,1.5962
1.5440,1.3826,1.7385
1.5460,1.3676,1.7240
1.5480,1.3823,1.6763
1.5500,1.4047,1.7854
1.5520,1.3981,1.8079
1.5540,1.3473,1.7932
1.5560,1.3822,1.7677
1.5580,1.4205,1.8269
1.5600,1.3915,1.7676
1.5620,1.3843,1.7769
1.5640,1.4345,1.6975
1.5660,1.4731,1.8055
1.5680,1.4678,1.7451
1.5700,1.4046,1.7110
1.5720,1.3678,1.7546
1.5740,1.4013,1.8519
1.5760,1.4061,1.9190
1.5780,1.3840,1.8219
1.5800,1.4626,1.9505
1.5820,1.4757,1.9083
1.5840,1.4929,2.0094
1.5860,1.4366,2.0487
1.5880,1.4197,1.9281
1.5900,1.3854,1.7844
1.5920,1.4751,1.8530
1.5940,1.4514,1.8190
1.5960,1.4344,1.9891
1.5980,1.4369,1.9605
1.6000,1.4706,2.1146
1.6020,1.4790,2.1308
1.6040,1.5154,2.0150
1.6060,1.4658,2.0361
1.6080,1.6148,2.0339
1.6100,1.4910,2.1221
1.6120,1.3918,2.1507
1.6140,1.4398,2.0194
1.6160,1.4233,2.0013
1.6180,1.4169,2.0028
1.6200,1.4312,2.0755
1.6220,1.4522,1.9438
1.6240,1.4453,1.9179
1.6260,1.4899,1.9503
1.6280,1.5280,1.8439
1.6300,1.5450,1.9574
1.6320,1.5640,1.9728
1.6340,1.5414,2.1155
1.6360,1.5957,2.0334
1.6380,1.5500,2.0834
1.6400,1.5225,2.1935
1.6420,1.5132,2.1374
1.6440,1.5711,2.2634
1.6460,1.5052,2.0322
1.6480,1.4961,1.9619
1.6500,1.4781,2.0761
1.6520,1.5495,2.0798
1.6540,1.5803,2.0484
1.6560,1.4710,2.0015
1.6580,1.4736,1.9649
1.6600,1.5394,2.0925
1.6620,1.5543,2.1791
1.6640,1.6254,2.1286
1.6660,1.5977,2.0983
1.6680,1.4857,2.1224
1.6700,1.5284,2.0118
1.6720,1.4801,1.9383
1.6740,1.4574,1.9957
1.6760,1.4966,2.0032
1.6780,1.4870,2.1479
1.6800,1.4594,2.2033
1.6820,1.4217,2.1175
1.6840,1.4491,2.1188
1.6860,1.4677,2.1242
1.6880,1.5216,2.1527
1.6900,1.5356,2.1016
1.6920,1.4854,2.0547
1.6940,1.4327,2.0638
1.6960,1.4104,2.2146
1.6980,1.4439,2.0387
1.7000,1.4216,1.9862
1.7020,1.3739,1.9586
1.7040,1.4184,2.1095
1.7060,1.4138,2.0669
1.7080,1.4621,2.1765
1.7100,1.4411,2.0186
1.7120,1.5441,2.1184
1.7140,1.4374,2.1409
1.7160,1.4183,2.2004
1.7180,1.3977,2.1421
1.7200,1.4578,2.1702
1.7220,1.3752,2.1202
1.7240,1.4869,2.0299
1.7260,1.4657,1.9341
1.7280,1.3981,2.0451
1.7300,1.3618,2.1313
1.7320,1.4653,2.0438
1.7340,1.3351,1.9602
1.7360,1.4003,1.9998
1.7380,1.4203,1.9982
1.7400,1.3983,2.0621
1.7420,1.3932,2.0397
1.7440,1.3650,2.0033
1.7460,1.3519,1.8949
1.7480,1.3867,1.9218
1.7500,1.3902,2.0109
1.7520,1.3907,2.0923
1.7540,1.3946,2.0170
1.7560,1.4163,2.0309
1.7580,1.3721,2.0409
1.7600,1.2973,2.0839
1.7620,1.3181,1.9732
1.7640,1.3113,2.0039
1.7660,1.3196,2.0263
1.7680,1.3754,2.0394
1.7700,1.3605,2.0958
1.7720,1.4044,2.1228
1.7740,1.4595,2.1037
1.7760,1.3957,2.0815
1.7780,1.4066,2.1452
1.7800,1.4015,2.0978
1.7820,1.4302,2.0377
1.7840,1.3629,2.1263
1.7860,1.4734,2.0967
1.7880,1.4446,2.0958
1.7900,1.4293,2.1294
1.7920,1.4434,2.0509
1.7940,1.5212,2.1049
1.7960,1.4559,2.1988
1.7980,1.5025,1.9384
1.8000,1.4886,2.0608
1.8020,1.4647,2.0857
1.8040,1.4690,1.7679
1.8060,1.4853,2.0651
1.8080,1.3725,2.0327
1.8100,1.4295,1.9981
1.8120,1.4122,2.1046
1.8140,1.4901,2.1457
1.8160,1.4555,1.9602
1.8180,1.3984,1.9770
1.8200,1.3903,1.8243
1.8220,1.4190,2.0248
1.8240,1.4256,1.9029
1.8260,1.4928,1.9491
1.8280,1.4233,1.8964
1.8300,1.3560,1.9304
1.8320,1.4210,1.8798
1.8340,1.4214,1.9918
1.8360,1.4350,1.9044
1.8380,1.4071,1.9065
1.8400,1.3184,1.9111
1.8420,1.3601,1.9445
1.8440,1.2899,1.9084
1.8460,1.2976,2.0506
1.8480,1.2430,2.0546
1.8500,1.2628,1.9472
1.8520,1.2630,2.0551
